--------- beginning of events
12-19 10:38:16.068  1256 10046 I power_partial_wake_state: [REL,1,*telephony-sem-radio*:com.android.phone]
12-19 10:38:16.234  1256  7205 I power_partial_wake_state: [REL,248,RILJ_ACK_WL:com.android.phone]
12-19 10:38:16.847  1256  2300 I power_partial_wake_state: [CHG,0,*telephony-sem-radio*:com.android.phone]
12-19 10:38:16.869  1256  8986 I power_partial_wake_state: [CHG,22,*telephony-sem-radio*:com.android.phone]
12-19 10:38:16.870  1256  8986 I power_partial_wake_state: [REL,1,*telephony-sem-radio*:com.android.phone]
12-19 10:38:17.127  1256  8986 I power_partial_wake_state: [REL,310,RILJ_ACK_WL:com.android.phone]
12-19 10:38:21.876  1256 10046 I power_partial_wake_state: [REL,202,RILJ_ACK_WL:com.android.phone]
12-19 10:38:24.451  1256  2300 I power_partial_wake_state: [CHG,1,*telephony-sem-radio*:com.android.phone]
12-19 10:38:24.472  1256  9325 I power_partial_wake_state: [CHG,22,*telephony-sem-radio*:com.android.phone]
12-19 10:38:24.473  1256  9325 I power_partial_wake_state: [REL,0,*telephony-sem-radio*:com.android.phone]
12-19 10:38:24.585  7013  7896 I service_manager_stats: [100,139,144945]
12-19 10:38:24.598  1256  2300 I power_partial_wake_state: [CHG,0,*telephony-sem-radio*:com.android.phone]
12-19 10:38:24.620  1256  7205 I power_partial_wake_state: [CHG,23,*telephony-sem-radio*:com.android.phone]
12-19 10:38:24.621  1256  7205 I power_partial_wake_state: [REL,1,*telephony-sem-radio*:com.android.phone]
12-19 10:38:24.653  1256  1362 I power_sleep_requested: 0
12-19 10:38:24.698  1256  1328 I am_pss  : [13950,5023,com.samsung.android.networkdiagnostic,18375680,16039936,600064,57573376,0,19,11]
12-19 10:38:24.707  1256  1328 I am_pss  : [13866,10063,com.samsung.android.game.gos,13893632,12054528,641024,49664000,0,19,8]
12-19 10:38:24.715  1256  1362 I sysui_multi_action: [757,1696,758,6,759,0]
12-19 10:38:24.716  1256  1328 I am_pss  : [13674,10094,com.osp.app.signin,28354560,26140672,603136,67837952,0,19,9]
12-19 10:38:24.771  1256  2257 I am_compact: [8665,android.process.acore,anon,43724,29676,13296,48324,-13296,0,-13296,13624,109,2,130107927,935,15,2803604,-5584]
12-19 10:38:24.850  1256  2257 I am_compact: [8611,com.samsung.vvm,anon,50116,28456,20904,30488,-20668,0,-20668,20668,78,0,0,999,10,2798020,-8016]
12-19 10:38:24.865  1256  8986 I power_partial_wake_state: [REL,465,RILJ_ACK_WL:com.android.phone]
12-19 10:38:25.028  1256  1362 I wm_sleep_token: [0,1,ScreenOff]
12-19 10:38:25.033  1256  1362 I wm_pause_activity: [0,173969627,com.samsung.android.messaging/com.android.mms.ui.ConversationComposer,userLeaving=false,sleep]
12-19 10:38:25.035  3635  3635 I wm_on_top_resumed_lost_called: [173969627,com.android.mms.ui.ConversationComposer,topStateChangedWhenResumed]
12-19 10:38:25.042  3635  3635 I wm_on_paused_called: [173969627,com.android.mms.ui.ConversationComposer,performPause]
12-19 10:38:25.044  1256 10046 I wm_add_to_stopping: [0,173969627,com.samsung.android.messaging/com.android.mms.ui.ConversationComposer,completePauseLocked]
12-19 10:38:25.058  1256  1303 I sysui_multi_action: [757,803,799,window_time_0,802,1323]
12-19 10:38:25.062  1256  1307 I input_focus: [Requesting to set focus to null window,reason=UpdateInputWindows]
12-19 10:38:25.064  1256  2315 I input_focus: [Focus leaving 6de4449 com.samsung.android.messaging/com.android.mms.ui.ConversationComposer (server),reason=NOT_VISIBLE]
12-19 10:38:25.064  1256  1306 I wm_stop_activity: [0,173969627,com.samsung.android.messaging/com.android.mms.ui.ConversationComposer]
