Cur Time : 175128.494000sec

processing time : 64 usec

Group idx, Deferrable Flag, Group name(addr)
112,0,0xc9002880
111,0,0xc8f1de30
110,1,0xc90005e8
109,1,0xc90005e4
108,0,0xc900fa64
107,1,0xcbc40e00
106,1,0xcbc40de8
105,1,0xcbc3f9c0
104,1,0xcbc3f9a8
103,0,0xc9000570
102,0,0xcc3b7450
101,0,0xcb408484
100,0,0xcae0e9e8
 99,1,0xcbba9d84
 98,0,0xcb812300
 97,0,0xcb6ee750
 96,1,0xcb6ee754
 95,0,0xc9e48968
 94,0,0xcc3b76f4
 93,0,0x4c911b14
 92,0,0x4c910e04
 91,0,0x4c9100f4
 90,0,0x4c90f3e4
 89,0,0x4c90e6d4
 88,0,0x4c55dfc4
 87,0,0xb0829c88
 86,0,0xa95da2f8
 85,0,0xa95e3af0
 84,1,0xa95e3aec
 83,1,0xa95f23d4
 82,1,0xa95da43c
 81,1,0xa95da438
 80,0,0xa95ff720
 79,1,0xa95ff724
 78,1,0xcb082b20
 77,0,0x4c40d074
 76,0,0x4c3fafb4
 75,0,0x4c54456c
 74,0,0xc9e75b7c
 73,1,0xcc3b7944
 72,0,0xcc3b7948
 71,0,0xcc3b7924
 70,1,0xcc3b7988
 69,1,0xcc3c5e10
 68,0,0xcc3c5e14
 67,0,0xc9de1d70
 66,0,0xc9de1900
 65,0,0xcbc39df4
 64,0,0xc9e1a114
 63,1,0xcbc3f980
 62,0,0xc9dcf868
 61,0,0xc9dce6c4
 60,0,0xc9e28dc4
 59,1,0xc9dd0ab8
 58,0,0xc9e1edc0
 57,0,0xc9e11914
 56,1,0xc9dd6310
 55,0,0xc9e1a154
 54,1,0xc9deb300
 53,0,0xc9deb320
 52,0,0xc9deb2f0
 51,1,0xc9e2a3e8
 50,0,0xc9c23144
 49,1,0xcb47e674
 48,0,0xcb1bd7d0
 47,0,0xc879e150
 46,0,0xc879ddb0
 45,0,0xc879da10
 44,0,0xc879d670
 43,0,0xc879d2d0
 42,0,0xc879cf30
 41,0,0xc879cb90
 40,0,0xc879c7f0
 39,0,0xc879c450
 38,0,0xc879c0b0
 37,0,0xc879bd10
 36,0,0xc879b970
 35,0,0xc879b5d0
 34,0,0xc879b230
 33,0,0xc879ae90
 32,0,0xc879aaf0
 31,0,0xc879a750
 30,1,0xcb4795d8
 29,0,0xcc3b79d8
 28,0,0xcb47543c
 27,0,0xcb475f48
 26,0,0xc900be98
 25,0,0xc8adf520
 24,0,0xc8ae30c8
 23,1,0xcbc725bc
 22,1,0xcbc75650
 21,1,0xcbc75644
 20,1,0xcbc7561c
 19,1,0xcbc7378c
 18,1,0xcbc72c68
 17,1,0x4c3e268c
 16,1,0xcbc76024
 15,1,0xcbc76098
 14,1,0xcbc7608c
 13,1,0xcbc759e0
 12,1,0xcbbaa1f4
 11,1,0x4c3e040c
 10,1,0xcc3b7250
  9,1,0xcbad299c
  8,0,0xcc3b754c
  7,1,0xcc3b7548
  6,1,0xc8adf4d4
  5,1,0xcb834ee8
  4,1,0xc8adf6dc
  3,0,0xc939e1a0
  2,1,0xc8b42a78
  1,0,0xcc3b7560
  0,1,0xcc3b7564


 Group idx, Uint, Duration,  Reload, Timer obj(addr), tcb(addr), func1(addr), func2(addr), def callstack(addr)[near --- far], Start(sec), Expiry(sec)
  1,T_USEC,    1634,       0,0x98e8c968,0x00000000,0xc0da5bbc,0xc0da5bbc,[0xc0d9b1fc 0xc0da11cc 0xc0f19c44 0xc0f19d04],175128.492862,175128.494496
  2,T_MSEC,     100,     100,0xc8b42a7c,0x00000000,0xd80169f8,0xd80169f8,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd80599a8],175128.485434,175128.523119
 99,T_USEC,   49951,       0,0xcbba9d80,0x00000000,0xd801bcdc,0xd801bcdc,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8a77c14],175128.485534,175128.535485
  0,T_MSEC,     500,     500,0xcb03e168,0xc89b2870,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xda004ddc],175128.485489,175128.572178
  0,T_MSEC,     100,       0,0x98eb6e34,0x00000000,0xd801686c,0xd801686c,[0xc0d9b21c 0xc0d9ee4c 0xd80112cc 0xd8004524],175128.486271,175128.586271
  6,T_MSEC,     200,     200,0xc8adf4d0,0x00000000,0xd80188d0,0xd80188d0,[0xc0d9b21c 0xc0d9ee4c 0xd80d6514 0xd80e2c0c],175128.485467,175128.625623
 10,T_MSEC,     200,       0,0xcb6ee148,0xc89b2560,0xd8bbbd2c,0xd8bbbd2c,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd9a643c0],175128.486156,175128.686156
 10,T_MSEC,     250,       0,0xcb83c428,0xc89b2850,0xc10cb1f4,0xc10cb1f4,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xc10cb288],175128.485600,175128.735600
109,T_MSEC,       1,    1000,0xc90005dc,0xc89b2d20,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xc0ef3c24],175128.485499,175129.079055
 70,T_MSEC,    1000,       0,0xcc3b7980,0xc89b2de0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8b85f14],175128.485622,175129.485622
 10,T_MSEC,    1000,       0,0x4ca7abb4,0xc89b2670,0xdc009b4c,0xdc009b4c,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcabb1c0],175128.485958,175129.485958
 10,T_MSEC,    1000,       0,0xc9e3f8d4,0xc89b24a0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcd7989c],175128.485985,175129.485985
 10,T_MSEC,    1000,       0,0xc8b5b994,0xc89b2850,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xc0e1dbb4],175128.485994,175129.485994
 10,T_MSEC,    1000,       0,0xcc3b7344,0xc89b2ab0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xc0e1e004],175128.486106,175129.486106
 10,T_MSEC,    2000,       0,0xcbde7fa4,0xc89b2f50,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8ed25c8],175128.485654,175130.485654
 10,T_MSEC,    2000,       0,0xcb404df8,0xc89b27d0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8bb40c4],175128.485692,175130.485692
 10,T_MSEC,    2240,       0,0xc9e3f840,0xc89b24a0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcd798ac],175128.486018,175130.726018
 10,T_MSEC,    3000,       0,0xcbea7940,0xc89b2fb0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdc3f55b0],175128.485778,175131.485778
 10,T_MSEC,    3000,       0,0xcbeb4d78,0xc89b2fc0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdc3f55b0],175128.485816,175131.485816
 10,T_MSEC,    3000,       0,0xcbe991b8,0xc89b2fa0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdc3f0d7c],175128.485912,175131.485912
 10,T_MSEC,    3000,       0,0xcbe92ff0,0xc89b2f90,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdc3f0d7c],175128.485932,175131.485932
 10,T_MSEC,    3000,       0,0xcc3b1758,0xc89b24a0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcd798bc],175128.486078,175131.486078
112,T_MSEC,    3000,       0,0xc9002878,0xc89b2d30,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xc0efd2ac],175128.486558,175131.486558
 10,T_MSEC,    5000,       0,0x99021a70,0xc89b2eb0,0xd8100940,0xd8100940,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xc100a290],175128.485861,175133.485861
 10,T_MSEC,    5000,       0,0x4cab3e54,0xc89b2480,0xdc009b4c,0xdc009b4c,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcabb1c0],175128.486055,175133.486055
  0,T_MSEC,    5000,       0,0xcc3b7984,0xc89b2de0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8b85f30],175128.490617,175133.490617
  0,T_MSEC,    5000,       0,0xc900eb40,0x00000000,0xd8026afc,0xd8026afc,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8026a80],175128.491170,175133.491170
 10,T_MSEC,   90000,       0,0xc908e73c,0xc89b25c0,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8089db4],175044.260280,175134.260280
  0,T_SEC ,       6,       0,0xcc051a88,0xc89b2870,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xda00e09c],175128.485967,175134.485967
 10,T_MSEC,   10000,       0,0xcaf98ba4,0xc89b2f50,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xd8ed25a4],175128.485892,175138.485892
 10,T_MSEC,   10000,       0,0x4c770484,0xc89b2ea0,0xdc009b4c,0xdc009b4c,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcabb1c0],175128.486301,175138.486301
 10,T_MSEC,   10000,       0,0x4c79b4e4,0xc89b2960,0xdc009b4c,0xdc009b4c,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcabb1c0],175128.486928,175138.486928
  0,T_MSEC,  100000,       0,0xcb03e16c,0xc89b2870,0x00000000,0x00000000,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xda004e08],175045.447339,175145.447339
 10,T_MSEC,   50000,       0,0x4ca8dcf4,0xc89b28e0,0xdc009b4c,0xdc009b4c,[0xc0d9b1fc 0xc0da40fc 0xc0da5540 0xdcabb1c0],175099.679714,175149.679714
